epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.912,1.68604,3.44104,1.60184,0.32836,0.31114,0.25211,0.16678,1.81288,2.88924,1.47103,0.000367528,0.000367528,0.000367528
2,618.687,1.77234,3.00829,1.70383,0.315,0.31371,0.21875,0.10467,1.83413,2.92389,1.75006,0.000664813,0.000664813,0.000664813
3,860.333,1.77668,2.74035,1.71717,0.33185,0.48371,0.32777,0.17206,1.56702,2.77112,1.42188,0.000888772,0.000888772,0.000888772
4,1120.19,1.7111,2.65911,1.65346,0.19979,0.47047,0.22277,0.12641,1.78273,2.87366,1.55702,0.000781033,0.000781033,0.000781033
5,1483.72,1.74974,2.58121,1.65692,0.3696,0.33498,0.28546,0.16091,1.62753,2.55336,1.43785,0.000671044,0.000671044,0.000671044
6,1953.09,1.62128,2.46361,1.59697,0.38372,0.48868,0.42026,0.2574,1.53138,2.18557,1.385,0.000561055,0.000561055,0.000561055
7,2430.15,1.57948,2.34791,1.55069,0.42502,0.4621,0.4448,0.29176,1.53117,2.16545,1.38068,0.000451066,0.000451066,0.000451066
8,3883.53,1.58377,2.2824,1.53166,0.35378,0.55455,0.40052,0.25522,1.43206,2.12334,1.31387,0.000341077,0.000341077,0.000341077
9,4156.02,1.53547,2.17109,1.48256,0.34828,0.48337,0.38234,0.25329,1.54088,2.11273,1.34587,0.000231088,0.000231088,0.000231088
10,4421.85,1.44375,2.0724,1.45514,0.43464,0.52095,0.45574,0.30879,1.39326,1.90587,1.28065,0.000121099,0.000121099,0.000121099
